iter	Passed	Remaining
0	1	1261
1	3	1983
2	5	1798
3	6	1669
4	7	1549
5	8	1470
6	9	1410
7	11	1425
8	12	1386
9	13	1345
10	14	1314
11	15	1283
12	17	1325
13	19	1379
14	21	1407
15	22	1395
16	23	1373
17	24	1349
18	25	1325
19	26	1313
20	28	1321
21	29	1305
22	30	1287
23	31	1295
24	34	1342
25	36	1355
26	37	1346
27	38	1331
28	39	1320
29	40	1309
30	41	1297
31	42	1287
32	43	1274
33	44	1263
34	45	1252
35	46	1250
36	48	1259
37	50	1269
38	51	1264
39	52	1255
40	53	1245
41	54	1237
42	55	1230
43	56	1221
44	57	1210
45	57	1200
46	58	1191
47	59	1183
48	60	1174
49	62	1192
50	64	1208
51	66	1205
52	67	1199
53	68	1192
54	69	1186
55	70	1182
56	71	1174
57	71	1167
58	72	1159
59	73	1152
60	74	1145
61	75	1140
62	78	1169
63	79	1166
64	80	1163
65	81	1159
66	83	1156
67	84	1155
68	85	1150
69	86	1148
70	87	1148
71	88	1145
72	90	1143
73	91	1148
74	93	1147
75	94	1151
76	96	1160
77	99	1171
78	100	1167
79	101	1163
80	102	1161
81	103	1156
82	103	1146
83	104	1142
84	106	1145
85	108	1149
86	110	1158
87	111	1159
88	112	1156
89	113	1151
90	114	1147
91	115	1142
92	116	1137
93	117	1132
94	118	1127
95	119	1123
96	120	1117
97	121	1119
98	123	1120
99	124	1120
100	125	1116
101	126	1112
102	127	1108
103	128	1103
104	129	1099
105	129	1095
106	130	1090
107	131	1086
108	132	1082
109	133	1078
110	134	1074
111	135	1070
112	136	1071
113	138	1073
114	139	1070
115	140	1067
116	140	1062
117	141	1058
118	142	1054
119	143	1051
120	144	1047
121	144	1042
122	145	1038
123	146	1035
124	147	1033
125	148	1030
126	149	1026
127	150	1023
128	151	1022
129	153	1024
130	154	1022
131	155	1019
132	155	1016
133	156	1013
134	157	1010
135	158	1007
136	159	1004
137	160	1001
138	161	998
139	162	996
140	163	993
141	163	988
142	164	986
143	165	984
144	167	985
145	168	985
146	169	984
147	170	982
148	171	982
149	173	980
150	173	978
151	174	975
152	175	972
153	176	970
154	177	967
155	178	965
156	179	962
157	180	959
158	182	964
159	184	967
160	184	963
161	186	962
162	187	961
163	188	959
164	189	957
165	190	956
166	191	954
167	192	953
168	193	951
169	194	949
170	195	947
171	197	951
172	198	950
173	199	949
174	200	947
175	201	945
176	202	942
177	203	940
178	204	937
179	205	935
180	206	933
181	207	931
182	208	928
183	208	926
184	209	923
185	210	923
186	212	924
187	213	922
188	214	921
189	215	919
190	216	917
191	217	914
192	218	912
193	219	910
194	220	908
195	220	905
196	221	903
197	222	901
198	223	899
199	224	896
200	225	894
201	226	894
202	227	894
203	228	892
204	229	891
205	230	889
206	231	886
207	232	884
208	233	882
209	234	880
210	235	878
211	235	876
212	236	875
213	237	873
214	239	875
215	241	875
216	242	873
217	242	871
218	243	869
219	244	867
220	245	865
221	246	863
222	247	861
223	248	859
224	248	857
225	249	855
226	250	853
227	251	851
228	252	849
229	253	847
230	254	848
231	256	847
232	257	846
233	257	844
234	258	842
235	259	840
236	260	838
237	261	836
238	262	834
